# dotfiles-Offense/install/offensive-packages.txt
# ──────────────────────────────────────────────────────────────────────────────
# The offensive tool layer for Kali (apt). The Core modern-CLI stack lives in
# the normal install/packages.txt; THIS file is the role layer on top of it.
# bootstrap.sh installs these AFTER the OS + Core layers.
#
# Most are in Kali's repos (`sudo apt install <pkg>`). The handful that aren't
# packaged (or move faster than the repo) are flagged → install via their own
# upstream method, same pattern Core already uses for starship/atuin on some
# distros.
#
# ⚠ Authorized engagements only. Installing ≠ permission to use.
# ──────────────────────────────────────────────────────────────────────────────

# ── Network / Active Directory ────────────────────────────────────────────────
netexec              # nxc — successor to CrackMapExec (CME archived 2023)
nmap
# rustscan          → UPSTREAM (cargo install rustscan): fast port sweep that hands off to
#                     nmap -sC -sV — hacktheplanet's `rustscan -a <ip> --ulimit 5000 -- -sC -sV`.
#                     NOT in kali-rolling: absent from main, contrib and non-free alike. Kali's
#                     packaging sits in kali-DEV at 2.4.1-0kali1 and has not migrated, while
#                     upstream is 4.7.4 — so apt cannot supply it on any box today. The line that
#                     was here also claimed it "ships in kali-linux-default"; that metapackage's
#                     Depends does not name it, so both halves were wrong. Re-check
#                     pkg.kali.org/pkg/rustscan and restore the apt line if 2.4.1 migrates.
responder
mitm6                # IPv6/DNS takeover: spoofs DHCPv6, becomes the segment's DNS, coerces Windows to auth over WPAD/HTTP. The relay TRIGGER that still fires when LLMNR/NBT-NS poisoning is off but IPv6 is on by default (it is). ⚠ it rewrites DNS for the WHOLE segment while it runs — loud, disruptive, and an ROE conversation before you reach for it
#                    # NOTE: upstream FROZEN (last commit Feb 2022; Kali has shipped 0.3.0 since May 2024).
#                    # Unlike kerbrute and havoc below, this one carried no freeze note — an omission, not a
#                    # judgement. Keep it: the technique is a Windows DEFAULT, not a bug, so it still fires.
#                    # Frozen because it is finished, not abandoned.
#                    # NO DROP-IN SUCCESSOR — but the near-miss has a NAME, so the flat "there is no
#                    # maintained successor to move to" this note used to carry was too strong.
#                    # RedTeamPentesting's `pretender` (Go, v1.4.1 Jul 2026, SRV spoofing added in v1.4.0) is
#                    # actively maintained, does DHCPv6/DNS takeover — mitm6's exact technique — plus
